x1_image,x2_image,main softmax,branch softmax,prediction_main,prediction_branch,true result
vehicle_images/1633894924130_Toyota Aqua Face Lift S 2016 for sale.jpg,vehicle_images/1633900143453_Toyota Corolla 121 G Grade 2000 for sale.jpg,"[0.947736918926239, 0.006113017909228802, 1.286540083356158e-07, 0.04614986479282379]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633894925351_Toyota Premio G Superior 2017 for sale.jpg,vehicle_images/1633900143641_Toyota Premio FEX 2017 for sale.jpg,"[0.48782581090927124, 0.07778121531009674, 6.982315426284913e-06, 0.4343859553337097]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633894925805_Toyota Corona Hkk 1992 for sale.jpg,vehicle_images/1633900143946_Toyota Aqua X Urban 2015 for sale.jpg,"[0.018623990938067436, 0.23395484685897827, 6.43140883767046e-05, 0.7473568320274353]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633894926496_Toyota Hilux REVO 2017 for sale.jpg,vehicle_images/1633900144275_Toyota Premio G Superior 2016 for sale.jpg,"[0.7432743310928345, 0.026991186663508415, 1.843712743720971e-05, 0.22971607744693756]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633894926645_Toyota Prius S Grade 2013 for sale.jpg,vehicle_images/1633900144745_Toyota CHR NGX  10 2018 for sale.jpg,"[0.4030688405036926, 0.3371889293193817, 0.04233706369996071, 0.21740521490573883]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633894951326_Toyota Allion G Plus 2013 for sale.jpg,vehicle_images/1633900145494_Toyota CHR 2020 for sale.jpg,"[0.5232504606246948, 0.13536027073860168, 6.775548536097631e-05, 0.34132152795791626]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633894952575_Toyota Prius 2010 for sale.jpg,vehicle_images/1633900146039_Toyota Premio G Superior F EX Pack 2014 for sale.jpg,"[0.03546217083930969, 0.9624126553535461, 1.1450985766714439e-05, 0.0021137427538633347]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633894952870_Toyota Land Cruiser Prado 30 INVINCIBLE LC5 2014 for sale.jpg,vehicle_images/1633900146825_Toyota Land Cruiser Prado tx150 2014 for sale.jpg,"[0.10115151852369308, 0.006338894832879305, 2.49411186814541e-06, 0.8925070762634277]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633894953410_Toyota Allion G Limited 2018 for sale.jpg,vehicle_images/1633900180207_Toyota Vitz Ksp 130 2013 for sale.jpg,"[0.905552864074707, 0.0775221437215805, 1.1718544783434481e-06, 0.016923796385526657]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633894953716_Toyota Axio G Limited 2015 for sale.jpg,vehicle_images/1633900180787_Toyota Allion 2013 for sale.jpg,"[0.5903664231300354, 0.20129188895225525, 1.6995034712863344e-08, 0.20834168791770935]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
